Date,Time,Lat,Long,Alt,DIN2,SSID,WIFI,INT,Registration
02/07/2025,13:00:18,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:00:27,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:00:36,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:00:45,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:00:55,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:04,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:13,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:22,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:31,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:40,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:49,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:59,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:08,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:17,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:26,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:35,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:44,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:53,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:03,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:12,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:21,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:30,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:39,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:48,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:57,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:04:06,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:04:16,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:04:25,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:04:34,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:04:43,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:04:52,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:01,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:10,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:20,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:29,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:38,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:47,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:56,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:05,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:14,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:24,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:33,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:42,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:51,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:00,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:09,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:18,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:28,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:37,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:46,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:55,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:04,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:13,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:22,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:32,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:41,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:50,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:59,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:08,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:17,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:26,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:35,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:45,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:54,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:10:03,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:10:12,,,,,SKT-4014,1,1,GXNL
