Date,Time,Lat,Long,Alt,DIN2,SSID,WIFI,INT,Registration
16/07/2025,00:00:00,47.61821,-52.73561,123.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:00:09,47.61853,-52.7358,118.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:00:17,47.61849,-52.73577,109.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:00:40,47.6184,-52.73569,95.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:00:47,47.6184,-52.73565,92.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:00:55,47.61836,-52.73561,86.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:01:03,47.61832,-52.73561,75.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:01:10,47.61832,-52.73562,73.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:01:18,47.6183,-52.73563,67.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:01:26,47.61829,-52.73566,65.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:01:34,47.6183,-52.73567,67.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:01:43,47.6183,-52.73565,69.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:01:50,47.6183,-52.73563,70.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:01:58,47.61828,-52.7356,66.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:02:05,47.61824,-52.73555,64.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:02:12,47.61822,-52.73551,60.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:02:20,47.61821,-52.73548,56.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:02:27,47.61827,-52.73557,62.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:02:34,47.6183,-52.73562,65.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:02:42,47.61831,-52.7356,62.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:02:49,47.61832,-52.73555,62.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:02:57,47.61833,-52.73549,63.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:03:04,47.61833,-52.73548,67.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:03:12,47.61833,-52.73549,72.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:03:20,47.61833,-52.73549,77.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:03:28,47.61832,-52.73544,79.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:03:35,47.61834,-52.73547,80.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:03:42,47.61836,-52.73548,83.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:03:50,47.61834,-52.73546,79.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:03:57,47.61831,-52.73545,71.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:04:05,47.61826,-52.73546,61.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:04:12,47.61826,-52.73549,55.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:04:19,47.61828,-52.73545,52.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:04:27,47.6183,-52.73543,66.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:04:34,47.61832,-52.73536,72.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:04:42,47.61834,-52.73531,74.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:04:49,47.61836,-52.73526,77.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:04:57,47.61834,-52.73518,71.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:05:04,47.61836,-52.73517,72.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:05:12,47.6184,-52.73516,74.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:05:19,47.61841,-52.73516,76.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:05:27,47.61842,-52.7352,81.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:05:34,47.61841,-52.73523,84.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:05:42,47.6184,-52.73528,83.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:05:49,47.61838,-52.73523,82.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:05:57,47.61837,-52.73522,75.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:06:04,47.61837,-52.73528,70.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:06:11,47.61835,-52.73538,59.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:06:19,47.61834,-52.73547,53.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:06:26,47.61834,-52.73552,55.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:06:33,47.61829,-52.73554,55.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:06:42,47.61823,-52.73553,59.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:06:50,47.61818,-52.73565,62.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:06:58,47.61816,-52.73569,64.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:07:05,47.6182,-52.73564,70.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:07:13,47.61822,-52.73557,70.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:07:20,47.61821,-52.73551,69.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:07:28,47.61819,-52.73546,70.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:07:35,47.61816,-52.73544,70.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:07:43,47.61817,-52.73545,74.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:07:50,47.61815,-52.73543,74.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:07:57,47.61811,-52.73538,75.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:08:05,47.61808,-52.73533,75.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:08:12,47.61806,-52.73527,71.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:08:20,47.61808,-52.73528,76.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:08:27,47.61806,-52.73529,80.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:08:35,47.61802,-52.73532,80.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:08:42,47.618,-52.73536,77.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:08:49,47.61798,-52.73535,74.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:08:57,47.61794,-52.73529,73.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:09:04,47.61791,-52.73525,67.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:09:12,47.61787,-52.73524,66.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:09:19,47.6179,-52.73517,60.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:09:27,47.61797,-52.7351,54.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:09:34,47.61802,-52.73511,55.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:09:42,47.61808,-52.73516,55.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:09:49,47.61808,-52.73515,55.0,1.0,SKT-4031,1.0,1.0,GPIX
16/07/2025,00:09:56,47.61805,-52.73512,63.0,1.0,SKT-4031,1.0,1.0,GPIX
