Date,Time,Lat,Long,Alt,DIN2,SSID,Throughput_Mbps,WIFI,INT,Registration
17/03/2026,00:00:04,44.88407,-63.5122,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:00:12,44.8839,-63.51247,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:00:19,44.88372,-63.5127,115.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:00:26,44.88362,-63.51291,115.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:00:33,44.88363,-63.51312,115.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:00:40,44.88367,-63.5133,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:00:48,44.88378,-63.51344,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:00:55,44.88389,-63.51345,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:01:02,44.88401,-63.51343,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:01:09,44.88412,-63.5134,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:01:17,44.88418,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:01:24,44.88419,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:01:31,44.88419,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:01:38,44.88419,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:01:45,44.88419,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:01:53,44.88419,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:02:00,44.88419,-63.51336,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:02:08,44.88419,-63.51336,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:02:16,44.88419,-63.51336,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:02:23,44.88419,-63.51336,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:02:30,44.88419,-63.51337,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:02:37,44.88419,-63.51337,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:02:46,44.88419,-63.51337,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:02:53,44.88419,-63.51336,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:03:00,44.88419,-63.51337,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:03:07,44.88419,-63.51337,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:03:14,44.88419,-63.51337,120.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:03:22,44.8842,-63.51337,120.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:03:29,44.8842,-63.51337,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:03:36,44.8842,-63.51337,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:03:43,44.8842,-63.51338,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:03:50,44.8842,-63.51338,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:03:58,44.8842,-63.51338,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:04:06,44.88419,-63.51338,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:04:13,44.88419,-63.51337,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:04:20,44.88419,-63.51337,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:04:29,44.8842,-63.51336,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:04:36,44.8842,-63.51337,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:04:44,44.8842,-63.51338,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:04:51,44.8842,-63.51338,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:04:58,44.8842,-63.51338,120.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:05:05,44.8842,-63.51338,120.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:05:12,44.8842,-63.51339,120.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:05:20,44.88421,-63.51339,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:05:27,44.88421,-63.51338,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:05:34,44.88421,-63.51337,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:05:42,44.8842,-63.51337,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:05:50,44.8842,-63.51337,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:05:58,44.8842,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:06:05,44.8842,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:06:12,44.8842,-63.51336,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:06:19,44.8842,-63.51335,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:06:27,44.8842,-63.51335,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:06:35,44.8842,-63.51336,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:06:42,44.8842,-63.51337,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:06:49,44.88419,-63.51337,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:06:56,44.88419,-63.51336,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:07:03,44.88418,-63.51337,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:07:11,44.88418,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:07:18,44.88418,-63.51336,115.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:07:25,44.88418,-63.51336,114.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:07:33,44.88419,-63.51336,115.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:07:41,44.88419,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:07:48,44.88419,-63.51338,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:07:55,44.88419,-63.51339,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:08:02,44.88419,-63.51338,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:08:09,44.88419,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:08:17,44.88419,-63.51336,115.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:08:24,44.88418,-63.51336,114.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:08:31,44.88418,-63.51336,115.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:08:38,44.88418,-63.51337,115.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:08:45,44.88418,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:08:53,44.88419,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:09:00,44.88419,-63.51337,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:09:07,44.8842,-63.51336,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:09:14,44.8842,-63.51336,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:09:21,44.88421,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:09:29,44.88421,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:09:37,44.88421,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:09:45,44.8842,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:09:52,44.8842,-63.51338,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:09:59,44.88419,-63.51338,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:10:06,44.88419,-63.51338,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:10:14,44.88419,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:10:21,44.88419,-63.51336,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:10:28,44.88419,-63.51336,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:10:35,44.8842,-63.51336,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:10:43,44.8842,-63.51336,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:10:51,44.88419,-63.51337,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:10:58,44.88419,-63.51336,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:11:05,44.88419,-63.51336,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:11:12,44.88419,-63.51335,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:11:19,44.88419,-63.51336,120.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:11:26,44.8842,-63.51337,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:11:34,44.8842,-63.51337,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:11:41,44.88421,-63.51337,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:11:48,44.88421,-63.51336,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:11:55,44.88421,-63.51336,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:12:02,44.88421,-63.51336,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:12:09,44.88421,-63.51336,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:12:17,44.88421,-63.51336,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:12:24,44.88421,-63.51336,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:12:31,44.88422,-63.51337,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:12:38,44.88422,-63.51338,119.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:12:45,44.88421,-63.51338,118.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:12:52,44.88421,-63.51338,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:13:00,44.88421,-63.51337,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:13:08,44.88421,-63.51337,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:13:15,44.8842,-63.51337,117.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:13:22,44.8842,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:13:29,44.88419,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:13:36,44.88419,-63.51337,116.0,1.0,SKT-4016,,1.0,1.0,GYYR
17/03/2026,00:13:43,44.88419,-63.51337,115.0,1.0,SKT-4016,,1.0,1.0,GYYR
