Date,Time,Lat,Long,Alt,DIN2,SSID,WIFI,INT,Registration
02/07/2025,13:00:31,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:00:40,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:00:50,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:00:59,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:08,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:17,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:26,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:35,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:44,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:01:54,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:03,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:12,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:21,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:30,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:39,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:48,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:02:58,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:07,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:16,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:25,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:34,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:43,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:03:52,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:04:02,,,,,SKT-4014,1,0,GXNL
02/07/2025,13:04:12,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:04:21,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:04:31,,,,,SKT-4014,1,0,GXNL
02/07/2025,13:04:40,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:04:49,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:04:58,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:07,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:17,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:26,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:36,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:45,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:05:54,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:03,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:12,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:22,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:32,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:41,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:50,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:06:59,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:08,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:17,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:27,,,,,SKT-4014,1,0,GXNL
02/07/2025,13:07:36,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:47,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:07:56,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:05,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:14,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:24,,,,,SKT-4014,1,0,GXNL
02/07/2025,13:08:33,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:42,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:08:51,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:01,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:11,,,,,SKT-4014,1,0,GXNL
02/07/2025,13:09:20,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:29,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:38,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:47,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:09:56,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:10:06,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:10:15,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:10:24,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:10:34,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:10:43,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:10:52,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:11:01,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:11:10,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:11:20,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:11:29,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:11:38,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:11:47,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:11:56,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:12:05,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:12:14,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:12:23,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:12:33,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:12:42,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:12:51,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:13:00,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:13:09,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:13:18,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:13:27,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:13:37,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:13:46,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:13:55,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:14:04,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:14:13,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:14:22,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:14:31,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:14:41,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:14:50,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:14:59,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:15:08,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:15:17,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:15:26,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:15:36,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:15:45,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:15:54,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:16:03,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:16:12,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:16:21,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:16:31,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:16:40,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:16:50,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:16:59,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:17:08,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:17:17,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:17:26,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:17:35,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:17:45,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:17:54,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:18:03,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:18:12,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:18:22,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:18:31,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:18:40,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:18:50,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:18:59,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:19:08,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:19:17,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:19:27,,,,,SKT-4014,1,0,GXNL
02/07/2025,13:19:36,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:19:46,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:19:55,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:20:04,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:20:13,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:20:22,,,,,SKT-4014,1,1,GXNL
02/07/2025,13:20:31,,,,,SKT-4014,1,1,GXNL
